total_labor_hours,most_active_months,licenses,release_count,all_in_production,organization
1.1452728E7,["10"],"[Other,Apache-2.0,LGPL-2.1,MIT,BSD-2-Clause,BSD-3-Clause,GPL-2.0,GPL-3.0]",322,false,Pacific Northwest National Laboratory (PNNL)
881.6,["10"],["Unlicense"],1,true,Nevada National Security Site/Mission Support and Test Services LLC (MSTS)
2616786.0,["10"],"[BSD-3-Clause,Other,GPL-2.0,MIT,BSD-2-Clause,Apache-2.0,GPL-3.0]",38,false,Contractor (CONTR)
3456845.2,["10"],"[LGPL-2.1,Apache-2.0,MPL-2.0,GPL-2.0,MIT,LGPL-3.0,BSD-3-Clause]",47,false,Idaho National Laboratory (INL)
1936723.2,["10"],"[GPL-3.0,Other,MIT,BSD-3-Clause,AGPL-3.0]",15,false,Princeton Plasma Physics Laboratory (PPPL)
7220.0,["10"],["Other"],1,true,National Energy Technology Laboratory (NETL)
9.5298688E7,["10"],"[Other,BSD-3-Clause,LGPL-3.0,MIT,LGPL-2.1,BSD-2-Clause,Apache-2.0]",616,false,Office of Scientific and Technical Information (OSTI)
4.28436608E8,["10"],"[BSD-3-Clause,LGPL-2.1,GPL-3.0,Other,MIT,LGPL-3.0,GPL-2.0,Apache-2.0,BSD-2-Clause,MPL-2.0,Unlicense,EPL-1.0,GPL-2.1]",413,false,Sandia National Laboratories (SNL)
2.1414384E7,["10"],"[BSD-3-Clause,GPL-2.0,Other,Apache-2.0,GPL-3.0,MIT,BSD-2-Clause,EPL-1.0,LGPL-2.1]",131,false,Los Alamos National Laboratory (LANL)
3.2509784E7,["10"],"[Other,BSD-3-Clause,GPL-2.0,Apache-2.0,MIT,BSD-2-Clause,GPL-3.0]",234,false,Lawrence Berkeley National Laboratory (LBNL)
2233472.8,["10"],"[Other,BSD-2-Clause,LGPL-3.0,BSD-3-Clause,GPL-2.0,GPL-3.0,MIT]",75,false,Argonne National Laboratory (ANL)
335266.38,["10"],"[Other,BSD-3-Clause,MIT,GPL-3.0,BSD-2-Clause,LGPL-3.0,Apache-2.0]",77,false,Brookhaven National Laboratory (BNL)
758404.06,["10"],"[Other,BSD-3-Clause]",5,false,Thomas Jefferson National Accelerator Facility (TJNAF)
215049.61,["10"],["BSD-3-Clause"],5,true,Ames Laboratory (AMES)
4.8608136E7,["10"],"[GPL-2.0,LGPL-2.1,LGPL-3.0,Other,GPL-3.0,GPL-2.1,BSD-3-Clause,BSD-2-Clause,MIT,Apache-2.0,AGPL-3.0]",533,false,Lawrence Livermore National Laboratory (LLNL)
1406531.9,["10"],"[Other,MIT,Apache-2.0,LGPL-3.0]",61,false,SLAC National Accelerator Laboratory (SLAC)
4.4360288E7,["10"],"[Other,LGPL-3.0,Apache-2.0,BSD-2-Clause,GPL-3.0,BSD-3-Clause,MIT,AGPL-3.0,LGPL-2.1,GPL-2.0]",197,false,National Renewable Energy Laboratory (NREL)
0.0,["10"],["Other"],1,true,USDOE Advanced Research Projects Agency â€“ Energy (ARPA-E) (United States) (ARPA-E)
2.3599586E7,["10"],"[BSD-3-Clause,MIT,GPL-2.0,GPL-3.0,Other,Apache-2.0,LGPL-3.0,LGPL-2.1,EPL-1.0,MPL-2.0,BSD-2-Clause,GPL-2.1]",174,false,Oak Ridge National Laboratory (ORNL)
35203.2,["10"],"[MIT,GPL-3.0,Apache-2.0,BSD-3-Clause,Other,GPL-2.0]",20,false,Fermi National Accelerator Laboratory (FNAL)
